tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
D. Savage,Lock'd In,Lock'd In,spotify:track:4WrgMQFeiC7PrCYOMaGtjA,,,,,,
2 Chainz,Bigger Than You feat. Drake & Quavo,Bigger Than You (feat. Drake & Quavo),spotify:track:5S1IUPueD0xE0vj4zU3nSf,,,,,,
Mac Miller,Best Day Ever,Donald Trump,spotify:track:5oMkgWZqmKjaJHrsXcsZZy,,,,,,
Bryson Tiller,T R A P S O U L,Right My Wrongs,spotify:track:5rgrBsAFYMun6yhtnLKRPz,,,,,,
JAY-Z,The Hits Collection Volume One,Run This Town,spotify:track:2a8CtZyPdd8w2csZh7oxpc,,,,,,
Rich The Kid,The World Is Yours,Plug Walk,spotify:track:6mAz8D1TmlTuef90dbNIiZ,,,,,,
Wiz Khalifa,The Saga of Wiz Khalifa,Out in Space (feat. Quavo),spotify:track:3bqU32NjjtMeJ7dtn5Lzxi,,,,,,
KINGMOSTWANTED,An Everlasting King,In My City,spotify:track:3JlIWg991WM3tlg8aOXEnq,,,,,,
Kota the Friend,Face It,Face It,spotify:track:3k2siE5234rEIV52ltcIYY,,,,,,
Lil Tjay,Brothers,Brothers,spotify:track:3OKjDHmSJVKOn6V4hCR8bq,,,,,,
A$AP Rocky,Phantogram Freestyle,Phantogram Freestyle,spotify:track:68eq9TwlS3mLo087cXwCS7,,,,,,
Don Toliver,JACKBOYS,HAD ENOUGH (feat. Quavo & Offset),spotify:track:7LGWmZaoS7jZJ5tEi9EcDi,,,,,,
Drake,More Life,Gyalchester,spotify:track:6UjfByV1lDLW0SOVQA4NAi,,,,,,
Migos,Stir Fry,Stir Fry,spotify:track:4fndbjoz1qJyK6JcLdKfzm,,,,,,
Future,High Off Life,Trapped In The Sun,spotify:track:6QeUzTuBoasiii8nevDciq,,,,,,
Young Thug,So Much Fun,Circle Of Bosses (feat. Quavo),spotify:track:5UmRDaMPkV6g2HVMWoKx8u,,,,,,
guccihighwaters,my way,my way,spotify:track:5PUWpq86XzH9GBCuTPWwOJ,,,,,,
iann dior,Still Here,shots in the dark,spotify:track:6e7jXXhVt7lOj07fffOdJl,,,,,,
Travis Scott,ASTROWORLD,WHO? WHAT!,spotify:track:4KYS9GK68yeuUJ8vJfPxrq,,,,,,
Kanye West,Kanye West Presents Good Music Cruel Summer,Don't Like.1,spotify:track:12D0n7hKpPcjuUpcbAKjjr,,,,,,
NAV,RECKLESS,Wanted You (feat. Lil Uzi Vert),spotify:track:1Faq8G2y56A8fRv7HsLq25,,,,,,
Tay-K,#SantanaWorld (+),The Race - Remix,spotify:track:7d19457woBxmPRCq255YqM,,,,,,
A Boogie Wit da Hoodie,The Bigger Artist,Undefeated (feat. 21 Savage),spotify:track:2vaMWMPMgsWX4fwJiKmdWm,,,,,,
Tame Impala,Lonerism,Feels Like We Only Go Backwards,spotify:track:0LtOwyZoSNZKJWHqjzADpW,,,,,,
TOKYO’S REVENGE,GOODMORNINGTOKYO!,GOODMORNINGTOKYO!,spotify:track:0Q2n5yzl2XRqYbV77tZNYp,,,,,,
J. Cole,KOD,KOD,spotify:track:7yotKA30dwTKNEGomV9ZsI,,,,,,
Lil Wayne,Tha Carter IV,6 Foot 7 Foot,spotify:track:0z5ZPs57J2KERwM1tBM2GF,,,,,,
Travis Scott,Birds In The Trap Sing McKnight,coordinate,spotify:track:7pas6O1LYbaeChEFQBhPFU,,,,,,
Peachy!,Falling for U,Falling for U,spotify:track:0sHFw13WH3LtSB3yP8UMYJ,,,,,,
The Weeknd,Kiss Land,Wanderlust,spotify:track:3b30Kdm3nKrD352zEPCAda,,,,,,
21 Savage,SAVAGE MODE II,Glock In My Lap,spotify:track:6pcywuOeGGWeOQzdUyti6k,,,,,,
Tee Grizzley,My Moment,10K,spotify:track:74wjy8LzSYH6IL7qSLQUO4,,,,,,
$NOT,Beautiful Havoc,Mean,spotify:track:3PXi72ZtSqx1PZc40KS0Qj,,,,,,
The Weeknd,Starboy,Reminder,spotify:track:37F0uwRSrdzkBiuj0D5UHI,,,,,,
Kodak Black,No Flockin',No Flockin',spotify:track:34oWbFBfGEElvgO0a5c9V4,,,,,,
Gunna,Drip or Drown 2,Idk Why,spotify:track:06S7iIXT8ZVAcVK6l1iXvx,,,,,,
Tee Grizzley,My Moment,How Many,spotify:track:3HB575euJNbuArWTuYDkh4,,,,,,
VIC MENSA,"SHELTER ft Wyclef Jean, ft Chance The Rapper","SHELTER ft Wyclef Jean, ft Chance The Rapper",spotify:track:2nKaHCeL3e5DNl3P7eZ5uo,,,,,,
Lil Baby,Voice of the Heroes,Voice of the Heroes,spotify:track:7eO7rOwH5qVD3UWpO97qTI,,,,,,
Kent Jones,Don't Mind,Don't Mind,spotify:track:27PmvZoffODNFW2p7ehZTQ,,,,,,
Chance the Rapper,Acid Rap,Cocoa Butter Kisses,spotify:track:0aMHIW1lqrulVCx0LLlr6a,,,,,,
Jaden,ERYS,Mission,spotify:track:4zY9B5aEAtcOY35GBqQHUS,,,,,,
Lil Skies,Shelby,Breathe,spotify:track:6NGeKy2lLt86dxDjJAtBFk,,,,,,
Juice WRLD,Life's A Mess (feat. Halsey),Life's A Mess (feat. Halsey),spotify:track:1yHdZ9S6rBlNPH3LDNMy2P,,,,,,
Pooh Shiesty,Shiesty Season,Neighbors (feat. BIG30),spotify:track:2xlOJSbScxrHHOmlNmILpD,,,,,,
XXXTENTACION,SKINS,difference (interlude),spotify:track:5itzep0nGnq7hxCfFNsTIR,,,,,,
Smokepurpp,Glock In My Benz,Glock In My Benz,spotify:track:7MCs283jdifycrZoMPPynX,,,,,,
Migos,No Label II,Fight Night,spotify:track:2n5gVJ9fzeX2SSWlLQuyS9,,,,,,
Chance the Rapper,Acid Rap,Favorite Song,spotify:track:1sFstGV1Z3Aw5TDFCiT7vK,,,,,,
Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",spotify:track:4yNoUQkYf1QF8iYlEzNynH,,,,,,
Trippie Redd,A Love Letter To You 2,Back of My Mind,spotify:track:7Juu32WsD2Spqg8xdPuHlK,,,,,,
Post Malone,beerbongs & bentleys,Stay,spotify:track:4H7WNRErSbONkM06blBoGc,,,,,,
Shelley FKA DRAM,Broccoli,Broccoli,spotify:track:0qy5D3OJre7SPJNMOL9I71,,,,,,
Lil Uzi Vert,Eternal Atake,Silly Watch,spotify:track:5egD7A5x9AHdVO2fMo3Wbo,,,,,,
Kanye West,ye,Violent Crimes,spotify:track:3s7MCdXyWmwjdcWh7GWXas,,,,,,
Lil Uzi Vert,The Perfect LUV Tape,Do What I Want,spotify:track:4IWGnyOHDrVZEtPWfs4s7q,,,,,,
YoungBoy Never Broke Again,38 Baby,38 Baby,spotify:track:35zkqY6kIGshmm8HhE3eSi,,,,,,
Kali Uchis,Isolation,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",spotify:track:1otG6j1WHNvl9WgXLWkHTo,,,,,,
DJ Khaled,I'm the One,I'm the One,spotify:track:72Q0FQQo32KJloivv5xge2,,,,,,
NAV,Bad Habits,Vicodin,spotify:track:19CWeHbg3Z9XJH4Uzdk6tf,,,,,,
Travis Scott,ASTROWORLD,BUTTERFLY EFFECT,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,,,,,,
"Tyler, The Creator",I Ain't Got Time!,I Ain't Got Time!,spotify:track:4QZ3PUwKQ3YySvb2gnRuKU,,,,,,
J. Cole,2014 Forest Hills Drive,G.O.M.D.,spotify:track:16qYlQ6koFxYVbiJbGHblz,,,,,,
NAV,Bad Habits,OK (feat. Lil Durk),spotify:track:1Kg99KJWHMNn0IgnEwvWR0,,,,,,
$NOT,Go,Go,spotify:track:0cNAaZbkK61jCej9BP1NoJ,,,,,,
Trippie Redd,Dark Knight Dummo (Feat. Travis Scott),Dark Knight Dummo (Feat. Travis Scott),spotify:track:3YeJXuRSNS5FYwOsDu44kD,,,,,,
Logic,Everybody,Everybody,spotify:track:51sVgPeBHYwbeM1cWegVqR,,,,,,
Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),spotify:track:2SAqBLGA283SUiwJ3xOUVI,,,,,,
Juice WRLD,Death Race For Love,Ring Ring (with Rvssian feat. Clever),spotify:track:4zxpssj8DyrfZcEUSUiNxG,,,,,,
SAFE,STAY,Paid In Full (feat. Playboi Carti),spotify:track:54fp2te55cEempad9L0TMy,,,,,,
A Boogie Wit da Hoodie,Hoodie SZN,Love Drugs and Sex,spotify:track:1Gno5IBUHh6vUKp4nxu2Yd,,,,,,
Pooh Shiesty,Shiesty Season - Spring Deluxe,Guard Up,spotify:track:5GIMbHVOv3wi9O3iccvzGn,,,,,,
88GLAM,88GLAM RELOADED,Twin Turbo,spotify:track:2vSQ9NSh7eiU6uxeqSBXiu,,,,,,
guccihighwaters,NOVEMBER,gtg,spotify:track:2T1cV9OIdT09r5xZuQx62D,,,,,,
Famous Dex,Wit Yo Bitch (feat. MadeinTYO),Wit Yo Bitch (feat. MadeinTYO) - Remix,spotify:track:7HrfeP6dl2TzPT4GiRHKNY,,,,,,
slowthai,TYRON,terms (feat. Dominic Fike & Denzel Curry),spotify:track:2iwLygOHE2YStc23isxS3b,,,,,,
Shrimp,Shrimp's Greatest Hits,It'll Happen,spotify:track:45v9H3w6B3sOM8l6WE7Zrg,,,,,,
Juice WRLD,Lucid Dreams,Lucid Dreams,spotify:track:32iYwQ4OYiurnGnOfJ1aEh,,,,,,
